ROWKEY,COMMCONTENT
100170,有点江南水乡的意思。整体布局别有洞天，像极了“山重水复疑无路，柳暗花明又一村”
100171,举家出游，孩子很喜欢，只是船上环境很差，到处都是垃圾，无人收拾。救生设施也做不到每人一套。环境还不错，小岛上也有人文历史建筑。
100172,一般，里面没有啥景观，就是一些房子。
100173,离火车站非常近，方便，碧海蓝天也是非常怡人，大爱
100174,方便，用的是电子解说器 也可以。觉得人工讲解应该更好！
100175,还可以，趣味设施坏的比较多。自助餐味道还好，就是太咸了！！！点餐上菜速度由于系统坏了实在好慢，中间有点波折，服务人员也不能提起告知解释，就比较恼火！
100176,非常美的风景区，千年古刹，风景很好，区内有济南七十二泉中的三泉，水质很好。
100177,预定很方便，当天用当天订，山不高，有体力的可以爬山去，没体力的可以坐缆车或滑道，都不错，价格也还可以
100178,四五月份的时候去爬的大珠山，朋友开私家车去的，好像听胶南的同事说也有直达的公交车，坐隧道到胶南后，可以坐公交过来的，门票挺便宜的，当时是杜鹃花开的季节，这边说是杜鹃花节，就过来了，当时是周日过来的人非常的多。
100179,挺好的人都有一个人的时候我就不想去
100180,【点评有奖第12季】景区比较好找，和纪念馆挨着，在西门换完票就直奔东门，找到客栈赶紧换衣服，实在是太热了。下午4:30出去溜达，我们住在古城中心，出来就看大船，有条龙在吐水，哈哈，正好下午赶上“皇上”巡街，帅气！带着孩子没走完，但是夜景超赞，建议大家晚上游古城。
100181,【点评有奖第12季】这个景区相当不建议去，真个公园除了卖东西的，吃饭的，旅馆，没有任何景观
100182,【点评有奖第9季】总体来说还不错，买票很方便，景点还可以。
100183,【点评有奖第8季】网上第一次买票，不错方便有快捷。下次还会继续在这里买。
100184,天气比较凉爽，风景不错！～很好。
100185,从网上购买方便快捷，景色非常不错，空气很好，推荐
100186,很方便，也很好玩，以后还会推荐更多的人用，总之就是一个字，好好好非常好
100187,地方很大，很干净，整洁。里面的小动物虽然因为天气比较热，还是很活跃，动物种类非常多，开车去比较方便。
100188,景点玩得还可以 这个价钱还比较值 门票处卖140。建议自己订票
100189,挺好的，之前去的海底世界都没有那么多景点，这个景点很多。5d动感电影看起来很不错，带孩子去的，孩子玩的比较开心，值得一去，一些人物应该是蜡像做的，做的很逼真，很像。儿童不过120免费，但是需要够一张5元钱的保险
100190,栈桥的景色不错，就是那里被弄成奇形怪状的残障乞讨者太多，太煞风景了，不知道现在有没有好些！
100191,退潮以后有些人在挖东西，蛮有意思的，有游艇体验，比在极地那里的价格便宜，不过视野不如极地那边的开阔
100192,千帆竞发的场景让让人触动，遗憾没有乘游艇出海一番，晚上的奥帆中心却有另一翻滋味
100193,很壮观的一大块石碑，好多好多人在那里等着排队留影的！
100194,很一般了，很普通的一个山，号称北方普陀，门票80，不算便宜。
100195,这个景点很壮观，还是非常值得来看看的，适合拍照留念，但是要注意安全
100196,有几个酒吧、饭店，经常有在那里拍电影的，晚上去比较好，在海边一坐，吹着海风，喝着扎啤，再来点海鲜、烧烤，爽
100197,我们去到的时候已经天黑了，不过奥帆中心的灯光还是很好的，四周都很漂亮。快走的时候，小孩子们在广场入口处一起玩嗨了，成了这次青岛游的一个经典记忆了。遗憾的是，天太黑，下次去的时候，已经白天再去一次，好好的看看万帆竞技的场景。
100198,是我见过的除了济南老火车站以外最有特色的火车站，可惜济南老火车站拆了，现在只能从这个火车站感受一下当年的那份情怀了。
100199,青岛火车站建筑很复古，从内到外都很有特色，挺漂亮的。
100200,好多人排队拍照，乱糟糟人又多，根本拍不好
100201,上万只海鸥在你身边近距离飞着，很震撼的感觉！坐船的时间太长了来回要4小时！一定要备好
100202,我看到白石泉的第一眼就被它震惊到了，那泉水真的是太清澈了吧！
100203,刚在志伟渔家住宿，忍不住赞一下，老板做菜口味非常棒！活海鲜做的都很不错的！价格也很公道，没有传说中的渔家宰人现象！ 另外，住宿很干净，很舒服，标间，有无线，有独立卫生间，价格也是公道，物有所值，赞一下！！渔家电话13562444449
100204,个人认为还是挺值得进去看一看的，里面有个博物馆，参观完博物馆后还可以看整个还原出的监狱，里面还有一些多媒体的东西还挺不错的。
100205,在这拍的婚纱照，色彩很丰富噢～～
100206,之前看帖子不是说这里是免费的吗？我怎么看见还要收费呢？看见收费的牌子所以我都没有进去，还有一个原因就是我去青岛的时间刚好的旅游旺季啊有没有！！！海边全是人啊有没有！！！在栈桥那边的时候看到第一海水浴场里面人挤人真的很吓人有没有！！！
100207,经典的欧式建筑，董必武和陈毅下榻过，蒋介石也曾经呆过。
100208,栈桥--青岛的一处标志性坐标，都说到过栈桥才是真的来过青岛。还有栈桥附近就是青岛火车站，相当的便利！
100209,多少年过去了。年轻时候的求学路啊。。
100210,傍晚去的，沿着小河边走走，周边有一些小吃和小的手艺摊位，值得一看。沿着小路可以直通芙蓉街，非常不错。
100211,非常非常小的一条小街，挺有感觉的，在里面走着，有些市井气息，感觉又很舒坦。
100212,交通不怎么便利，而且啊，没有什么亮点，就感觉一般吧
100213,爬上去真得累死 风景其实很一般啊
100214,公主楼顾名思义如同公主一样的建筑，细细的腰身，外表漂亮，婀娜多姿
100215,在第一海水浴场旁边，靠近中山公园，广场很大，适合在这里放风筝。
100216,九丈崖，林海值得去，依山傍海，海天一色。
100217,达大明湖南门，不要门票，停车费5元，从南门逛到了超然楼，游玩了1小时10分钟。
100218,这里还保留着老潍县特色的东西，属于泰华商圈了吧~~~
100219,市中心。其实不能算景点，正常的交通也会经过。这里应该是潍坊最好的地段吧，建议住在附近，晚上走走看看。
100220,就在趵突泉公园里面，不收费，可以买本线装本的李清照诗集留念，20元一本
100221,青岛火车站是德国人设计的经典建筑。近栈桥，购物方便，住酒店也很方便。
100222,看到很多老建筑，感觉和天津的五大道差不多吧， 路上还偶遇不在计划中的邮电博物馆，企鹅慢递等等，随遇的感觉挺好的。
100223,八大关是我在青岛最喜欢的景色，这里绿树成荫，幽静清凉的大路纵横其间，特色别墅融合在其中，其中包含了蒋介石在青岛的别墅，同时很多疗养院都建在这里，更美的是这边依然临海，而且海边安静很多，海的颜色也好看很多，碧海蓝天，绿树红瓦真是在这里相得益彰，季节好的时候，每天都可以在这里看到很多拍婚纱照的。
100224,4月底到6月份，非常漂亮，青山绿水，特别是一场鱼后，山像洗过一遍似的。
100225,交通还比较方便的，景色怡人，有范仲淹和李清照的故居，人文景观和自热景观交相辉映
100226,上去的时候要爬很长一段坡，其实也一般啦，不过正好在闹市上，可以顺便去看看
100227,道路相当隐蔽，但是风景相当不错呀，O(∩_∩)O哈哈~但是，爬山真的是很消耗体力，尤其我们找了一条人迹罕至的路.
100228,第一次见到大海的心情不言而喻，更看到了大家的胸怀，风景自然也很美~
100229,地方不大，逗留十分钟差不多了。
100230,"千佛山是泰山的余脉，海拔285米，占地166.1公顷，距市中心2.5公里。山峰层岚叠嶂，瀑布银珠飞落、栈道曲折险峻、溪流淅淅而下、深潭碧波轻荡。这里的一山一水都是有故事的，坐在济南的风里，聆听泉水私语，目染这满城秋色，一座不甚大的老城弥漫着清凉的气息。据史载：隋朝年间，山东佛教盛行，虔诚的教徒依山沿壁镌刻了为数较多的石佛，建千佛寺而得名千佛山。 沿盘道西路登山，途中有一唐槐亭，亭旁古槐一株，相传唐朝名将秦琼曾拴马于此。半山腰有一彩绘牌坊，即""齐烟九点""坊。登上一览亭，凭栏北望，近处大明湖如镜，远处黄河如带，泉城景色一览无遗。 千佛山上的石佛雕刻集中在兴国寺后的千佛崖上。兴国寺又名千佛山寺，始建于唐代，后经历代增建，规模渐大。寺门外西南上方的山崖上刻有""第一弥化""四个篆体字，每字约有4米见方。千佛崖上有隋代石佛60余尊，年代悠久，具有很高的艺术价值。 千佛山之东，佛慧山上也有雕刻石佛。其中主峰山麓有一佛龛，内有一尊头部佛像，高7米，宽4米多，俗称""大佛头""，这是一种十分罕见的石雕。"
100231,青岛地标，邻火车站，暑假人超多，桥上很多乞讨者
